Wavelength	Blackberry	Grass	Blueberry	Litter	Humus	Soil
628	0.066767169	0.060715941	0.072424362	0.190394095	0.031144821	0.090004702
629	0.066798578	0.060563741	0.07236919	0.191405214	0.031278147	0.090375384
630	0.066804783	0.060371908	0.072292652	0.192357447	0.031380659	0.090734213
631	0.066776967	0.06013614	0.07217756	0.193259489	0.031496233	0.091109259
632	0.066710357	0.059842958	0.071995506	0.194087123	0.031612524	0.091488625
633	0.066592405	0.05948634	0.071738031	0.194853484	0.031715902	0.091842312
634	0.066434632	0.059074454	0.071398428	0.195566675	0.031813054	0.092179949
635	0.066253281	0.058617918	0.070992302	0.196258248	0.031921862	0.092543187
636	0.06602572	0.058104709	0.070496517	0.196915976	0.032030935	0.092936185
637	0.065732631	0.057511122	0.069897978	0.197497611	0.032126802	0.093318399
638	0.065402995	0.056866914	0.069226793	0.198018071	0.03222409	0.093698052
639	0.0650417	0.056190122	0.068492642	0.198486898	0.032324109	0.094085001
640	0.064648969	0.055473683	0.06769411	0.198918154	0.032439103	0.094472778
641	0.064224873	0.054727529	0.066837743	0.199287765	0.032551961	0.094845643
642	0.063775569	0.053971162	0.06593711	0.199626455	0.032667099	0.095216552
643	0.063341425	0.053238695	0.065031243	0.199964374	0.032783516	0.095588222
644	0.062916519	0.052529943	0.064134404	0.20028039	0.032892985	0.095952738
645	0.062512012	0.051856243	0.063272173	0.200628286	0.032999809	0.096333334
646	0.062136207	0.051233778	0.062453243	0.201006746	0.033111868	0.096726404
647	0.061788808	0.050665342	0.06169117	0.201412399	0.033212676	0.097122105
648	0.061456569	0.050135332	0.060976654	0.201817533	0.03328834	0.097500454
649	0.061146481	0.049658466	0.060314129	0.202271789	0.033394358	0.09789487
650	0.060866039	0.04923857	0.059711793	0.202800747	0.033501914	0.098292989
651	0.060613414	0.048870815	0.059157208	0.203391605	0.033605482	0.098692341
652	0.060384268	0.048552223	0.05863104	0.204042304	0.033715694	0.099109793
653	0.060161357	0.048260055	0.058114865	0.204731414	0.033834054	0.099556402
654	0.059932403	0.047974044	0.057593647	0.205419481	0.033951368	0.100018412
655	0.059673508	0.047665312	0.057038599	0.206057836	0.034048852	0.100463174
656	0.059406502	0.047348926	0.056460803	0.206668413	0.034153692	0.100917669
657	0.059123413	0.047007968	0.05584351	0.207239264	0.034266007	0.10137898
658	0.058809156	0.046631143	0.055174205	0.207768976	0.034392911	0.101852818
659	0.058467144	0.046231521	0.054464313	0.208217833	0.034513925	0.102322267
660	0.058117827	0.04582508	0.053734138	0.208593862	0.034622547	0.102782554
661	0.057776024	0.045426008	0.053010248	0.208932673	0.034736726	0.103258703
662	0.057442136	0.045033169	0.052305002	0.209219148	0.034850838	0.10374258
663	0.057130114	0.044655287	0.051627703	0.209486649	0.034958079	0.104237053
664	0.056849174	0.0443038	0.050994059	0.209747169	0.035073628	0.10473684
665	0.056609756	0.043995994	0.050422829	0.210026401	0.035201905	0.105245758
666	0.056400469	0.043720332	0.049909242	0.210305716	0.035310281	0.105739323
667	0.056237049	0.043493923	0.049475995	0.210650552	0.035418046	0.106232695
668	0.056126811	0.043329111	0.049138943	0.211093876	0.035532616	0.106731429
669	0.056072529	0.043225466	0.048892283	0.211639746	0.035658041	0.107241534
670	0.056064481	0.043171129	0.048716949	0.212275728	0.035784562	0.107747801
671	0.056097232	0.043164122	0.048604664	0.21301065	0.035912305	0.108254181
